table_name,column_name,data_type,is_nullable,column_default,constraints
archetypes,id,bigint,NO,nextval('archetypes_id_seq'::regclass),PRIMARY KEY
archetypes,name,text,NO,null,
archetypes,canonical_parent_id,bigint,YES,null,
archetypes,process,text,YES,null,
archetypes,shelf_life_days,integer,YES,null,
archetypes,open_shelf_life_days,integer,YES,null,
archetypes,storage_profile,text,YES,null,
archetypes,nutrition_profile,jsonb,YES,null,
archetypes,created_at,timestamp with time zone,NO,now(),
archetypes,updated_at,timestamp with time zone,NO,now(),
batch_provenance,id,uuid,NO,gen_random_uuid(),PRIMARY KEY
batch_provenance,batch_id,uuid,NO,null,FOREIGN KEY -> inventory_lots
batch_provenance,cultivar_id,bigint,YES,null,FOREIGN KEY -> cultivars
batch_provenance,canonical_food_id,bigint,YES,null,
batch_provenance,qty_in,numeric,YES,null,
batch_provenance,unit_in,text,YES,null,
batch_provenance,role,text,YES,null,
batch_provenance,notes,text,YES,null,
batch_provenance,created_at,timestamp with time zone,NO,now(),
cultivars,id,bigint,NO,nextval('cultivars_id_seq'::regclass),PRIMARY KEY
cultivars,canonical_food_id,bigint,NO,null,
cultivars,cultivar_name,text,NO,null,
cultivars,nutrition_override,jsonb,YES,null,
cultivars,season_start,integer,YES,null,
cultivars,season_end,integer,YES,null,
derived_products,id,bigint,NO,nextval('derived_products_id_seq'::regclass),PRIMARY KEY
derived_products,cultivar_id,bigint,YES,null,
derived_products,derived_name,text,NO,null,
derived_products,process_method,text,YES,null,
derived_products,notes,text,YES,null,
derived_products,batch_date,date,NO,CURRENT_DATE,
derived_products,expected_shelf_life_days,integer,YES,null,
derived_products,expiration_date,date,YES,null,
derived_products,package_size,numeric,YES,null,
derived_products,package_unit,text,YES,null,
derived_products,calories_per_100g,numeric,YES,null,
derived_products,protein_g_per_100g,numeric,YES,null,
derived_products,carbs_g_per_100g,numeric,YES,null,
derived_products,fat_g_per_100g,numeric,YES,null,
derived_products,fiber_g_per_100g,numeric,YES,null,
derived_products,sugar_g_per_100g,numeric,YES,null,
derived_products,sodium_mg_per_100g,numeric,YES,null,
derived_products,created_at,timestamp with time zone,YES,now(),
derived_products,updated_at,timestamp with time zone,YES,now(),
generic_products,id,bigint,NO,nextval('generic_products_id_seq'::regclass),PRIMARY KEY
generic_products,name,text,NO,null,
generic_products,category_id,bigint,YES,null,FOREIGN KEY -> reference_categories
generic_products,subcategory,text,YES,null,
generic_products,keywords,ARRAY,YES,null,
generic_products,primary_unit,text,YES,null,
generic_products,unit_weight_grams,numeric,YES,null,
generic_products,unit_volume_ml,numeric,YES,null,
generic_products,density_g_per_ml,numeric,YES,null,
generic_products,shelf_life_days_pantry,integer,YES,null,
generic_products,shelf_life_days_fridge,integer,YES,null,
generic_products,shelf_life_days_freezer,integer,YES,null,
generic_products,calories_per_100g,numeric,YES,null,
generic_products,protein_g_per_100g,numeric,YES,null,
generic_products,carbs_g_per_100g,numeric,YES,null,
generic_products,fat_g_per_100g,numeric,YES,null,
generic_products,fiber_g_per_100g,numeric,YES,null,
generic_products,sugar_g_per_100g,numeric,YES,null,
