table_name,column_name,data_type,is_nullable,column_default,constraints
archetypes,id,bigint,NO,nextval('archetypes_id_seq'::regclass),PRIMARY KEY
archetypes,name,text,NO,null,
archetypes,origin_kind,text,NO,null,
archetypes,canonical_food_id,bigint,YES,null,FOREIGN KEY -> canonical_foods
archetypes,cultivar_id,bigint,YES,null,FOREIGN KEY -> cultivars
archetypes,process,text,YES,null,
archetypes,shelf_life_days,integer,YES,null,
archetypes,open_shelf_life_days,integer,YES,null,
archetypes,open_shelf_life_unit,text,YES,'days'::text,
archetypes,storage_profile,text,YES,null,
archetypes,nutrition_profile,jsonb,YES,null,
archetypes,created_at,timestamp with time zone,NO,now(),
archetypes,updated_at,timestamp with time zone,NO,now(),
archetypes,notes,text,YES,null,
canonical_foods,id,bigint,NO,nextval('canonical_foods_id_seq'::regclass),PRIMARY KEY
canonical_foods,canonical_name,text,NO,null,
canonical_foods,category_id,bigint,YES,null,FOREIGN KEY -> reference_categories
canonical_foods,keywords,ARRAY,YES,null,
canonical_foods,primary_unit,text,YES,'u'::text,
canonical_foods,unit_weight_grams,numeric,YES,null,
canonical_foods,density_g_per_ml,numeric,YES,null,
canonical_foods,shelf_life_days_pantry,integer,YES,null,
canonical_foods,shelf_life_days_fridge,integer,YES,null,
canonical_foods,shelf_life_days_freezer,integer,YES,null,
canonical_foods,origin_country,ARRAY,YES,null,
canonical_foods,process_params,jsonb,YES,null,
canonical_foods,created_at,timestamp with time zone,YES,now(),
canonical_foods,updated_at,timestamp with time zone,YES,now(),
canonical_foods,structured_seasons,jsonb,YES,null,
canonical_foods,nutrition_profile,jsonb,YES,null,
canonical_foods,process_capabilities,jsonb,YES,null,
canonical_foods,subcategory_id,bigint,YES,null,FOREIGN KEY -> reference_subcategories
cultivars,id,bigint,NO,nextval('cultivars_id_seq'::regclass),PRIMARY KEY
cultivars,canonical_food_id,bigint,NO,null,FOREIGN KEY -> canonical_foods
cultivars,cultivar_name,text,NO,null,
cultivars,synonyms,ARRAY,YES,null,
cultivars,structured_seasons,jsonb,YES,null,
cultivars,nutrition_override,jsonb,YES,null,
cultivars,notes,text,YES,null,
cultivars,created_at,timestamp with time zone,NO,now(),
cultivars,updated_at,timestamp with time zone,NO,now(),
inventory_lots,id,uuid,NO,gen_random_uuid(),PRIMARY KEY
inventory_lots,product_id,uuid,YES,null,FOREIGN KEY -> products
inventory_lots,archetype_id,bigint,YES,null,FOREIGN KEY -> archetypes
inventory_lots,initial_qty,numeric,YES,null,
inventory_lots,qty_remaining,numeric,YES,null,
inventory_lots,unit,text,YES,null,
inventory_lots,package_units_total,integer,YES,null,
inventory_lots,package_units_remaining,integer,YES,null,
inventory_lots,qty_per_unit,numeric,YES,null,
inventory_lots,qty_per_unit_unit,text,YES,null,
inventory_lots,is_opened,boolean,YES,false,
inventory_lots,opened_on,date,YES,null,
inventory_lots,expiration_date,date,YES,null,
inventory_lots,expiration_after_opening,date,YES,null,
inventory_lots,acquired_on,date,YES,CURRENT_DATE,
inventory_lots,parent_lot_id,uuid,YES,null,FOREIGN KEY -> inventory_lots
