id,canonical_name,category_id,keywords,primary_unit,unit_weight_grams,density_g_per_ml,shelf_life_days_pantry,shelf_life_days_fridge,shelf_life_days_freezer,origin_country,process_params,created_at,updated_at,structured_seasons,nutrition_profile,process_capabilities,subcategory_id
1001,pomme,1,"[""apple"",""fruit"",""pomme""]",u,150,0.85,7,30,365,"[""FR"",""IT"",""PL""]",,2025-09-28 15:02:02.979011+00,2025-09-28 19:03:53.479336+00,"{""peak"":[9,10,11],""type"":""fruit"",""available"":[1,2,3,9,10,11,12]}","{""fat_g_per_100g"":0.2,""carbs_g_per_100g"":14,""fiber_g_per_100g"":2.4,""sugar_g_per_100g"":10.4,""calories_per_100g"":52,""protein_g_per_100g"":0.3,""sodium_mg_per_100g"":1}","{""can_huile"":false,""can_sechage"":true,""can_vinaigre"":false,""can_confiture"":true,""can_congelation"":true,""can_conserve_bocal"":true,""can_lactofermentation"":false}",
1002,poire,1,"[""fruit"",""pear"",""poire""]",u,180,0.85,5,21,365,"[""CN"",""AR"",""TR""]",,2025-09-28 15:02:02.979011+00,2025-09-28 19:03:53.479336+00,"{""peak"":[9,10,11],""type"":""fruit"",""available"":[1,2,3,9,10,11,12]}","{""fat_g_per_100g"":0.1,""carbs_g_per_100g"":15,""fiber_g_per_100g"":3.1,""sugar_g_per_100g"":9.8,""calories_per_100g"":57,""protein_g_per_100g"":0.4,""sodium_mg_per_100g"":2}","{""can_huile"":false,""can_sechage"":true,""can_vinaigre"":false,""can_confiture"":true,""can_congelation"":true,""can_conserve_bocal"":true,""can_lactofermentation"":false}",
1003,prune,1,"[""fruit"",""plum"",""prune""]",u,65,0.87,3,7,365,"[""CN"",""RO"",""TR""]",,2025-09-28 15:02:02.979011+00,2025-09-28 19:03:53.479336+00,"{""peak"":[7,8],""type"":""fruit"",""available"":[6,7,8,9]}","{""fat_g_per_100g"":0.3,""carbs_g_per_100g"":11,""fiber_g_per_100g"":1.4,""sugar_g_per_100g"":9.9,""calories_per_100g"":46,""protein_g_per_100g"":0.7,""sodium_mg_per_100g"":0}","{""can_huile"":false,""can_sechage"":true,""can_vinaigre"":false,""can_confiture"":true,""can_congelation"":true,""can_conserve_bocal"":true,""can_lactofermentation"":false}",
1004,cerise,1,"[""cerise"",""cherry"",""fruit""]",u,8,1.05,2,7,365,"[""TR"",""US"",""IT""]",,2025-09-28 15:02:02.979011+00,2025-09-28 19:03:53.479336+00,"{""peak"":[5,6],""type"":""fruit"",""available"":[4,5,6,7]}","{""fat_g_per_100g"":0.2,""carbs_g_per_100g"":16,""fiber_g_per_100g"":2.1,""sugar_g_per_100g"":12.8,""calories_per_100g"":63,""protein_g_per_100g"":1.1,""sodium_mg_per_100g"":0}","{""can_huile"":false,""can_sechage"":false,""can_vinaigre"":false,""can_confiture"":true,""can_congelation"":true,""can_conserve_bocal"":true,""can_lactofermentation"":false}",
1005,pêche,1,"[""fruit"",""peach"",""pêche""]",u,150,0.89,3,7,365,"[""CN"",""ES"",""IT""]",,2025-09-28 15:02:02.979011+00,2025-09-28 19:03:53.479336+00,"{""peak"":[7,8],""type"":""fruit"",""available"":[6,7,8,9]}","{""fat_g_per_100g"":0.3,""carbs_g_per_100g"":10,""fiber_g_per_100g"":1.5,""sugar_g_per_100g"":8.4,""calories_per_100g"":39,""protein_g_per_100g"":0.9,""sodium_mg_per_100g"":0}","{""can_huile"":false,""can_sechage"":true,""can_vinaigre"":false,""can_confiture"":true,""can_congelation"":true,""can_conserve_bocal"":true,""can_lactofermentation"":false}",
1006,abricot,1,"[""abricot"",""apricot"",""fruit""]",u,35,0.86,2,5,365,"[""TR"",""IT"",""ES""]",,2025-09-28 15:02:02.979011+00,2025-09-28 19:03:53.479336+00,"{""peak"":[6,7],""type"":""fruit"",""available"":[5,6,7,8]}","{""fat_g_per_100g"":0.4,""carbs_g_per_100g"":11,""fiber_g_per_100g"":2,""sugar_g_per_100g"":9.2,""calories_per_100g"":48,""protein_g_per_100g"":1.4,""sodium_mg_per_100g"":1}","{""can_huile"":false,""can_sechage"":true,""can_vinaigre"":false,""can_confiture"":true,""can_congelation"":true,""can_conserve_bocal"":true,""can_lactofermentation"":false}",
1010,nectarine,1,"[""nectarine"",""fruit""]",u,150.0,0.89,3,7,365,"[""ES"",""IT"",""US""]",,2025-10-02 22:21:31.802295+00,2025-10-02 22:21:31.802295+00,"{""peak"":[6,7,8],""type"":""fruit"",""available"":[5,6,7,8,9]}","{""fat_g_per_100g"":0.3,""carbs_g_per_100g"":10.6,""fiber_g_per_100g"":1.7,""sugar_g_per_100g"":7.9,""calories_per_100g"":44,""protein_g_per_100g"":1.1,""sodium_mg_per_100g"":0}","{""can_huile"":false,""can_sechage"":true,""can_vinaigre"":false,""can_confiture"":true,""can_congelation"":true,""can_conserve_bocal"":true,""can_lactofermentation"":false}",
1011,brugnon,1,"[""brugnon"",""nectarine"",""fruit""]",u,150.0,0.90,3,7,365,"[""FR"",""ES"",""IT""]",,2025-10-02 22:21:31.802295+00,2025-10-02 22:21:31.802295+00,"{""peak"":[7,8],""type"":""fruit"",""available"":[6,7,8,9]}","{""fat_g_per_100g"":0.3,""carbs_g_per_100g"":10.6,""fiber_g_per_100g"":1.7,""sugar_g_per_100g"":7.9,""calories_per_100g"":44,""protein_g_per_100g"":1.1,""sodium_mg_per_100g"":0}","{""can_huile"":false,""can_sechage"":true,""can_vinaigre"":false,""can_confiture"":true,""can_congelation"":true,""can_conserve_bocal"":true,""can_lactofermentation"":false}",
1012,mirabelle,1,"[""mirabelle"",""plum"",""prune"",""fruit""]",u,15.0,0.87,3,7,365,"[""FR"",""LU"",""DE""]",,2025-10-02 22:21:31.802295+00,2025-10-02 22:21:31.802295+00,"{""peak"":[8],""type"":""fruit"",""available"":[7,8,9]}","{""fat_g_per_100g"":0.3,""carbs_g_per_100g"":11,""fiber_g_per_100g"":1.4,""sugar_g_per_100g"":9.9,""calories_per_100g"":46,""protein_g_per_100g"":0.7,""sodium_mg_per_100g"":0}","{""can_huile"":false,""can_sechage"":true,""can_vinaigre"":false,""can_confiture"":true,""can_congelation"":true,""can_conserve_bocal"":true,""can_lactofermentation"":false}",
1013,quetsche,1,"[""quetsche"",""plum"",""prune"",""fruit""]",u,40.0,0.87,3,7,365,"[""FR"",""DE"",""AT""]",,2025-10-02 22:21:31.802295+00,2025-10-02 22:21:31.802295+00,"{""peak"":[8,9],""type"":""fruit"",""available"":[7,8,9,10]}","{""fat_g_per_100g"":0.3,""carbs_g_per_100g"":11,""fiber_g_per_100g"":1.4,""sugar_g_per_100g"":9.9,""calories_per_100g"":46,""protein_g_per_100g"":0.7,""sodium_mg_per_100g"":0}","{""can_huile"":false,""can_sechage"":true,""can_vinaigre"":false,""can_confiture"":true,""can_congelation"":true,""can_conserve_bocal"":true,""can_lactofermentation"":false}",
1014,coing,1,"[""coing"",""quince"",""fruit""]",u,250.0,0.86,30,60,365,"[""TR"",""CN"",""UZ""]",,2025-10-02 22:21:31.802295+00,2025-10-02 22:21:31.802295+00,"{""peak"":[9,10,11],""type"":""fruit"",""available"":[9,10,11,12]}","{""fat_g_per_100g"":0.1,""carbs_g_per_100g"":15.3,""fiber_g_per_100g"":1.9,""sugar_g_per_100g"":0,""calories_per_100g"":57,""protein_g_per_100g"":0.4,""sodium_mg_per_100g"":4}","{""can_huile"":false,""can_sechage"":false,""can_vinaigre"":false,""can_confiture"":true,""can_congelation"":true,""can_conserve_bocal"":true,""can_lactofermentation"":false}",
1015,châtaigne,1,"[""châtaigne"",""chestnut"",""marron"",""fruit""]",u,15.0,0.72,14,30,365,"[""CN"",""IT"",""FR""]",,2025-10-02 22:21:31.802295+00,2025-10-02 22:21:31.802295+00,"{""peak"":[10,11,12],""type"":""fruit"",""available"":[9,10,11,12,1]}","{""fat_g_per_100g"":2.3,""carbs_g_per_100g"":45.5,""fiber_g_per_100g"":8.1,""sugar_g_per_100g"":11,""calories_per_100g"":213,""protein_g_per_100g"":2.4,""sodium_mg_per_100g"":3}","{""can_huile"":false,""can_sechage"":true,""can_vinaigre"":false,""can_confiture"":true,""can_congelation"":true,""can_conserve_bocal"":true,""can_lactofermentation"":false}",
1101,orange,1,"[""orange"",""fruit""]",u,200.0,0.87,14,30,0,"[""ES"",""BR"",""US""]",,2025-10-02 10:17:54.436036+00,2025-10-02 21:02:22.966745+00,"{""peak"":[11,12,1,2],""type"":""fruit"",""available"":[10,11,12,1,2,3,4]}","{""fat_g_per_100g"":0.1,""carbs_g_per_100g"":11.8,""fiber_g_per_100g"":2.4,""sugar_g_per_100g"":9.4,""calories_per_100g"":47,""protein_g_per_100g"":0.9,""sodium_mg_per_100g"":0}","{""can_huile"":false,""can_sechage"":true,""can_vinaigre"":false,""can_confiture"":true,""can_congelation"":false,""can_conserve_bocal"":false,""can_lactofermentation"":false}",
1102,citron,1,"[""citron"",""lemon"",""fruit""]",u,100.0,0.89,30,30,0,"[""ES"",""IT"",""AR""]",,2025-10-02 10:17:54.436036+00,2025-10-02 21:02:22.966745+00,"{""peak"":[],""type"":""permanent"",""available"":[1,2,3,4,5,6,7,8,9,10,11,12]}","{""fat_g_per_100g"":0.3,""carbs_g_per_100g"":9,""fiber_g_per_100g"":2.8,""sugar_g_per_100g"":2.5,""calories_per_100g"":29,""protein_g_per_100g"":1.1,""sodium_mg_per_100g"":2}","{""can_huile"":false,""can_sechage"":true,""can_vinaigre"":false,""can_confiture"":true,""can_congelation"":false,""can_conserve_bocal"":true,""can_lactofermentation"":false}",
1103,pamplemousse,1,"[""pamplemousse"",""grapefruit"",""fruit""]",u,350.0,0.89,14,30,0,"[""US"",""IL"",""ZA""]",,2025-10-02 10:17:54.436036+00,2025-10-02 21:02:22.966745+00,"{""peak"":[11,12,1,2],""type"":""fruit"",""available"":[10,11,12,1,2,3,4]}","{""fat_g_per_100g"":0.1,""carbs_g_per_100g"":10.7,""fiber_g_per_100g"":1.6,""sugar_g_per_100g"":6.9,""calories_per_100g"":42,""protein_g_per_100g"":0.8,""sodium_mg_per_100g"":0}","{""can_huile"":false,""can_sechage"":false,""can_vinaigre"":false,""can_confiture"":true,""can_congelation"":false,""can_conserve_bocal"":false,""can_lactofermentation"":false}",
1104,mandarine,1,"[""mandarine"",""tangerine"",""fruit""]",u,80.0,0.85,7,14,0,"[""ES"",""MA"",""CN""]",,2025-10-02 10:17:54.436036+00,2025-10-02 21:02:22.966745+00,"{""peak"":[11,12,1],""type"":""fruit"",""available"":[10,11,12,1,2]}","{""fat_g_per_100g"":0.3,""carbs_g_per_100g"":13.3,""fiber_g_per_100g"":1.8,""sugar_g_per_100g"":10.6,""calories_per_100g"":53,""protein_g_per_100g"":0.8,""sodium_mg_per_100g"":2}","{""can_huile"":false,""can_sechage"":true,""can_vinaigre"":false,""can_confiture"":true,""can_congelation"":false,""can_conserve_bocal"":false,""can_lactofermentation"":false}",
1105,citron vert,1,"[""citron vert"",""lime"",""fruit""]",u,70.0,0.88,14,21,0,"[""MX"",""IN"",""AR""]",,2025-10-02 10:17:54.436036+00,2025-10-02 21:02:22.966745+00,"{""peak"":[],""type"":""permanent"",""available"":[1,2,3,4,5,6,7,8,9,10,11,12]}","{""fat_g_per_100g"":0.2,""carbs_g_per_100g"":10.5,""fiber_g_per_100g"":2.8,""sugar_g_per_100g"":1.7,""calories_per_100g"":30,""protein_g_per_100g"":0.7,""sodium_mg_per_100g"":2}","{""can_huile"":false,""can_sechage"":true,""can_vinaigre"":false,""can_confiture"":true,""can_congelation"":false,""can_conserve_bocal"":true,""can_lactofermentation"":false}",
1151,banane,1,"[""banane"",""banana"",""fruit""]",u,120.0,0.74,5,7,365,"[""EC"",""CR"",""CI""]",,2025-10-02 10:19:33.056369+00,2025-10-02 21:02:22.966745+00,"{""peak"":[],""type"":""permanent"",""available"":[1,2,3,4,5,6,7,8,9,10,11,12]}","{""fat_g_per_100g"":0.3,""carbs_g_per_100g"":23,""fiber_g_per_100g"":2.6,""sugar_g_per_100g"":12.2,""calories_per_100g"":89,""protein_g_per_100g"":1.1,""sodium_mg_per_100g"":1}","{""can_huile"":false,""can_sechage"":true,""can_vinaigre"":false,""can_confiture"":true,""can_congelation"":true,""can_conserve_bocal"":false,""can_lactofermentation"":false}",
1152,kiwi,1,"[""kiwi"",""fruit""]",u,80.0,0.83,7,30,365,"[""NZ"",""IT"",""CN""]",,2025-10-02 10:19:33.056369+00,2025-10-02 21:02:22.966745+00,"{""peak"":[11,12,1,2,3],""type"":""fruit"",""available"":[10,11,12,1,2,3,4]}","{""fat_g_per_100g"":0.5,""carbs_g_per_100g"":14.7,""fiber_g_per_100g"":3,""sugar_g_per_100g"":9,""calories_per_100g"":61,""protein_g_per_100g"":1.1,""sodium_mg_per_100g"":3}","{""can_huile"":false,""can_sechage"":true,""can_vinaigre"":false,""can_confiture"":true,""can_congelation"":true,""can_conserve_bocal"":false,""can_lactofermentation"":false}",
1153,ananas,1,"[""ananas"",""pineapple"",""fruit""]",u,1800.0,0.86,3,7,365,"[""CR"",""PH"",""TH""]",,2025-10-02 10:19:33.056369+00,2025-10-02 21:02:22.966745+00,"{""peak"":[],""type"":""permanent"",""available"":[1,2,3,4,5,6,7,8,9,10,11,12]}","{""fat_g_per_100g"":0.1,""carbs_g_per_100g"":13.1,""fiber_g_per_100g"":1.4,""sugar_g_per_100g"":9.9,""calories_per_100g"":50,""protein_g_per_100g"":0.5,""sodium_mg_per_100g"":1}","{""can_huile"":false,""can_sechage"":true,""can_vinaigre"":false,""can_confiture"":true,""can_congelation"":true,""can_conserve_bocal"":true,""can_lactofermentation"":false}",
1154,mangue,1,"[""mangue"",""mango"",""fruit""]",u,350.0,0.83,5,7,365,"[""IN"",""TH"",""MX""]",,2025-10-02 10:19:33.056369+00,2025-10-02 21:02:22.966745+00,"{""peak"":[5,6,7],""type"":""saisonnier"",""available"":[4,5,6,7,8]}","{""fat_g_per_100g"":0.4,""carbs_g_per_100g"":15,""fiber_g_per_100g"":1.6,""sugar_g_per_100g"":13.7,""calories_per_100g"":60,""protein_g_per_100g"":0.8,""sodium_mg_per_100g"":1}","{""can_huile"":false,""can_sechage"":true,""can_vinaigre"":false,""can_confiture"":true,""can_congelation"":true,""can_conserve_bocal"":true,""can_lactofermentation"":false}",
1155,avocat,1,"[""avocat"",""avocado"",""fruit""]",u,200.0,0.92,5,7,365,"[""MX"",""DO"",""PE""]",,2025-10-02 10:19:33.056369+00,2025-10-02 21:02:22.966745+00,"{""peak"":[],""type"":""permanent"",""available"":[1,2,3,4,5,6,7,8,9,10,11,12]}","{""fat_g_per_100g"":14.7,""carbs_g_per_100g"":8.5,""fiber_g_per_100g"":6.7,""sugar_g_per_100g"":0.7,""calories_per_100g"":160,""protein_g_per_100g"":2,""sodium_mg_per_100g"":7}","{""can_huile"":true,""can_sechage"":false,""can_vinaigre"":false,""can_confiture"":false,""can_congelation"":true,""can_conserve_bocal"":false,""can_lactofermentation"":false}",
1156,noix de coco,1,"[""noix de coco"",""coconut"",""fruit""]",u,1500.0,0.92,180,7,365,"[""PH"",""ID"",""IN""]",,2025-10-02 10:19:33.056369+00,2025-10-02 21:02:22.966745+00,"{""peak"":[],""type"":""permanent"",""available"":[1,2,3,4,5,6,7,8,9,10,11,12]}","{""fat_g_per_100g"":33.5,""carbs_g_per_100g"":15.2,""fiber_g_per_100g"":9,""sugar_g_per_100g"":6.2,""calories_per_100g"":354,""protein_g_per_100g"":3.3,""sodium_mg_per_100g"":20}","{""can_huile"":true,""can_sechage"":true,""can_vinaigre"":false,""can_confiture"":false,""can_congelation"":true,""can_conserve_bocal"":false,""can_lactofermentation"":false}",
1157,grenade,1,"[""grenade"",""pomegranate"",""fruit""]",u,300.0,0.86,30,60,0,"[""IN"",""IR"",""TR""]",,2025-10-02 10:19:33.056369+00,2025-10-02 21:02:22.966745+00,"{""peak"":[10,11,12],""type"":""saisonnier"",""available"":[9,10,11,12,1]}","{""fat_g_per_100g"":1.2,""carbs_g_per_100g"":18.7,""fiber_g_per_100g"":4,""sugar_g_per_100g"":13.7,""calories_per_100g"":83,""protein_g_per_100g"":1.7,""sodium_mg_per_100g"":3}","{""can_huile"":false,""can_sechage"":false,""can_vinaigre"":false,""can_confiture"":true,""can_congelation"":true,""can_conserve_bocal"":false,""can_lactofermentation"":false}",
1158,litchi,1,"[""litchi"",""lychee"",""fruit""]",u,20.0,0.82,7,7,365,"[""CN"",""TH"",""VN""]",,2025-10-02 10:19:33.056369+00,2025-10-02 21:02:22.966745+00,"{""peak"":[12,1],""type"":""saisonnier"",""available"":[11,12,1,2]}","{""fat_g_per_100g"":0.4,""carbs_g_per_100g"":16.5,""fiber_g_per_100g"":1.3,""sugar_g_per_100g"":15.2,""calories_per_100g"":66,""protein_g_per_100g"":0.8,""sodium_mg_per_100g"":1}","{""can_huile"":false,""can_sechage"":false,""can_vinaigre"":false,""can_confiture"":false,""can_congelation"":true,""can_conserve_bocal"":true,""can_lactofermentation"":false}",
1159,papaye,1,"[""papaye"",""papaya"",""fruit""]",u,500.0,0.88,5,7,365,"[""IN"",""BR"",""MX""]",,2025-10-02 10:19:33.056369+00,2025-10-02 21:02:22.966745+00,"{""peak"":[],""type"":""permanent"",""available"":[1,2,3,4,5,6,7,8,9,10,11,12]}","{""fat_g_per_100g"":0.3,""carbs_g_per_100g"":10.8,""fiber_g_per_100g"":1.7,""sugar_g_per_100g"":7.8,""calories_per_100g"":43,""protein_g_per_100g"":0.5,""sodium_mg_per_100g"":8}","{""can_huile"":false,""can_sechage"":true,""can_vinaigre"":false,""can_confiture"":true,""can_congelation"":true,""can_conserve_bocal"":false,""can_lactofermentation"":false}",
1160,fruit de la passion,1,"[""fruit de la passion"",""passion fruit"",""fruit""]",u,50.0,0.87,7,14,365,"[""BR"",""EC"",""KE""]",,2025-10-02 10:19:33.056369+00,2025-10-02 21:02:22.966745+00,"{""peak"":[],""type"":""permanent"",""available"":[1,2,3,4,5,6,7,8,9,10,11,12]}","{""fat_g_per_100g"":0.7,""carbs_g_per_100g"":23.4,""fiber_g_per_100g"":10.4,""sugar_g_per_100g"":11.2,""calories_per_100g"":97,""protein_g_per_100g"":2.2,""sodium_mg_per_100g"":28}","{""can_huile"":false,""can_sechage"":false,""can_vinaigre"":false,""can_confiture"":true,""can_congelation"":true,""can_conserve_bocal"":false,""can_lactofermentation"":false}",
