source_id,calories_kcal,proteines_g,glucides_g,lipides_g,fibres_g,sucres_g,ag_satures_g,ag_monoinsatures_g,ag_polyinsatures_g,cholesterol_mg,calcium_mg,fer_mg,magnesium_mg,phosphore_mg,potassium_mg,sodium_mg,zinc_mg,cuivre_mg,selenium_ug,iode_ug,vitamine_a_ug,beta_carotene_ug,vitamine_d_ug,vitamine_e_mg,vitamine_k_ug,vitamine_c_mg,vitamine_b1_mg,vitamine_b2_mg,vitamine_b3_mg,vitamine_b5_mg,vitamine_b6_mg,vitamine_b9_ug,vitamine_b12_ug
10083,284.0,9.56,4.43,24.8,1.74,0.3,0.2,0.3,0.2,,2.29,0.1,0.35,4.52,0.05,0.25,0.09,88.5,40.0,0.11,16.6,5.57,0.95,0.8,0.53,0.33,0.7,0.9,2.81,7.63,790.0,2.5,100.0
25037,105.0,6.13,8.39,5.1,1.39,2.48,0.34,1.64,0.17,,0.43,0.02,0.21,1.1,0.01,0.02,0.02,,58.2,0.05,3.18,1.25,0.27,0.15,0.1,0.06,0.11,0.14,0.47,1.66,,0.41,
25038,117.0,6.69,5.28,7.5,1.52,1.6,0.28,0.75,0.2,,0.66,0.03,0.15,1.54,0.01,0.03,0.04,35.4,52.0,0.03,4.82,1.81,0.26,0.27,0.17,0.11,0.18,0.23,0.78,2.31,559.0,0.28,20.0
25077,133.0,8.36,7.43,7.65,1.01,0.58,0.3,,0.3,,,0.18,0.57,,,,,,,,3.19,2.33,1.1,,,,,,,,,,
25086,176.0,14.8,5.3,10.4,2.0,1.09,0.26,0.17,0.058,,0.35,0.11,,2.77,0.0035,0.031,,51.0,21.1,1.0,2.3,2.92,2.88,,0.013,0.0086,0.018,0.026,0.099,1.67,724.0,1.2,92.0
25128,75.2,9.31,3.1,2.3,1.5,2.0,0.79,0.1,0.082,,,0.028,0.6,,,,,28.0,16.1,,0.42,1.14,0.63,,,,,,,,506.0,1.0,71.0
25140,100.0,11.4,2.9,4.35,0.56,1.95,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,
25141,80.0,11.5,2.2,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25142,90.8,9.2,5.4,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25143,79.9,9.16,3.0,3.25,1.24,0.86,0.1,0.1,0.1,,,,,,,,,,,,1.56,0.72,0.83,,,,0.049,,,,,,
25145,77.2,8.8,4.2,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25146,114.0,11.8,3.9,5.5,1.68,1.65,0.14,0.7,0.16,,0.46,0.025,0.2,1.04,0.005,0.015,0.035,45.6,40.0,0.03,3.31,1.32,0.31,0.18,0.12,0.064,0.13,0.16,0.52,1.59,572.0,0.24,44.0
25210,227.0,18.8,0.4,16.2,0.65,0.4,,,,,,,,,,,,,,,3.8,,,,,,,,,,,,
